step,run_name,sequence_name,is_cuda,epochs,best_train_loss,best_train_acc,best_train_f1-score,best_test_loss,best_test_acc,best_test_f1-score
1,run,seq_run,False,50,1.07761816183726,0.38049242424242424,0.34708246364249806,1.0683293342590332,0.375,0.3841145833333333
2,run,seq_run,False,50,1.04820115999742,0.4471590909090909,0.4174020908934989,1.0523194670677185,0.484375,0.5013020833333333
3,run,seq_run,False,50,1.0221019007942893,0.4876893939393939,0.4540298018049667,1.0114414691925049,0.5546875,0.5553385416666666
4,run,seq_run,False,50,0.9891015580206206,0.5551136363636364,0.5183551867045504,0.9743199646472931,0.5546875,0.587890625
5,run,seq_run,False,50,0.9659354795109142,0.578219696969697,0.5801063082404119,0.939566045999527,0.5625,0.5989583333333334
6,run,seq_run,False,50,0.9344061920137117,0.5918560606060606,0.5917523081063097,0.9256931394338608,0.5703125,0.5989583333333334
7,run,seq_run,False,50,0.9224584825111158,0.6007575757575757,0.6044620542495481,0.9109954386949539,0.578125,0.5989583333333334
8,run,seq_run,False,50,0.9109522248759414,0.6007575757575757,0.6049933867212063,0.8863126635551453,0.59375,0.6302083333333334
9,run,seq_run,False,50,0.8965487245357397,0.6007575757575757,0.6049933867212063,0.8851983100175858,0.59375,0.6302083333333334
10,run,seq_run,False,50,0.8806609511375427,0.6054924242424242,0.6049933867212063,0.870816096663475,0.6015625,0.6302083333333334
11,run,seq_run,False,50,0.8696856480656248,0.6140151515151515,0.6049933867212063,0.870816096663475,0.6015625,0.6302083333333334
12,run,seq_run,False,50,0.8696856480656248,0.6140151515151515,0.6127953123223123,0.8617126494646072,0.625,0.6354166666666666
13,run,seq_run,False,50,0.858371432983514,0.6166666666666667,0.6127953123223123,0.8617126494646072,0.625,0.6354166666666666
14,run,seq_run,False,50,0.8580036939996661,0.6170454545454546,0.6127953123223123,0.8491728752851486,0.625,0.6555989583333334
15,run,seq_run,False,50,0.8510845773147814,0.625189393939394,0.629452441101302,0.8381125032901764,0.6328125,0.6555989583333334
16,run,seq_run,False,50,0.8396504033695568,0.6352272727272726,0.629452441101302,0.8381125032901764,0.640625,0.6555989583333334
17,run,seq_run,False,50,0.8396504033695568,0.6352272727272726,0.629452441101302,0.8315087407827377,0.640625,0.6569010416666666
18,run,seq_run,False,50,0.8396504033695568,0.6352272727272726,0.629452441101302,0.8289647996425629,0.640625,0.6569010416666666
19,run,seq_run,False,50,0.8352202700846123,0.6352272727272726,0.6399039944430335,0.8226582407951355,0.640625,0.6569010416666666
20,run,seq_run,False,50,0.8352202700846123,0.6352272727272726,0.6399039944430335,0.815275251865387,0.640625,0.6569010416666666
21,run,seq_run,False,50,0.8352202700846123,0.6443181818181818,0.6399039944430335,0.815275251865387,0.640625,0.6569010416666666
22,run,seq_run,False,50,0.8348218021970807,0.6443181818181818,0.6606866724852049,0.815275251865387,0.640625,0.6666666666666666
23,run,seq_run,False,50,0.8191282532431863,0.6443181818181818,0.6606866724852049,0.815275251865387,0.640625,0.6666666666666666
24,run,seq_run,False,50,0.8110501567522684,0.6443181818181818,0.6606866724852049,0.8126330971717834,0.640625,0.6666666666666666
25,run,seq_run,False,50,0.8076942978483258,0.656060606060606,0.6606866724852049,0.7999565154314041,0.640625,0.6666666666666666
26,run,seq_run,False,50,0.8076942978483258,0.6604166666666667,0.6606866724852049,0.7976794242858887,0.6484375,0.6666666666666666
27,run,seq_run,False,50,0.8076942978483258,0.6604166666666667,0.6606866724852049,0.7976794242858887,0.6484375,0.6666666666666666
28,run,seq_run,False,50,0.8076942978483258,0.6604166666666667,0.6606866724852049,0.7976794242858887,0.6640625,0.6764322916666666
29,run,seq_run,False,50,0.8033361073696252,0.6613636363636364,0.6606866724852049,0.7976794242858887,0.6640625,0.6764322916666666
30,run,seq_run,False,50,0.8019306713884528,0.6613636363636364,0.6606866724852049,0.7938809394836426,0.6640625,0.6764322916666666
31,run,seq_run,False,50,0.8019306713884528,0.6613636363636364,0.6606866724852049,0.7820253074169159,0.6796875,0.7233072916666666
32,run,seq_run,False,50,0.8019177371805365,0.6613636363636364,0.6634869998498992,0.7784062474966049,0.6796875,0.7233072916666666
33,run,seq_run,False,50,0.8018285252831199,0.6613636363636364,0.6634869998498992,0.7784062474966049,0.6796875,0.7233072916666666
34,run,seq_run,False,50,0.8018285252831199,0.6613636363636364,0.6634869998498992,0.7713936865329742,0.703125,0.7239583333333334
35,run,seq_run,False,50,0.7877104715867476,0.6691287878787879,0.6634869998498992,0.7633802741765976,0.703125,0.7239583333333334
36,run,seq_run,False,50,0.7719508644306299,0.6691287878787879,0.6634869998498992,0.7633802741765976,0.703125,0.7239583333333334
37,run,seq_run,False,50,0.7719508644306299,0.6691287878787879,0.6634869998498992,0.7633802741765976,0.703125,0.7239583333333334
38,run,seq_run,False,50,0.7719508644306299,0.6706439393939394,0.6681046876260173,0.7633802741765976,0.703125,0.7239583333333334
39,run,seq_run,False,50,0.7719508644306299,0.6706439393939394,0.6730155677838133,0.752332016825676,0.703125,0.7239583333333334
40,run,seq_run,False,50,0.7719508644306299,0.6706439393939394,0.6730155677838133,0.752332016825676,0.703125,0.7239583333333334
41,run,seq_run,False,50,0.7719508644306299,0.6706439393939394,0.6730155677838133,0.75064517557621,0.703125,0.7239583333333334
42,run,seq_run,False,50,0.7625456307873582,0.6784090909090909,0.6758764455734474,0.75064517557621,0.703125,0.7239583333333334
43,run,seq_run,False,50,0.7625456307873582,0.6784090909090909,0.6758764455734474,0.7411100715398788,0.703125,0.7239583333333334
